dmf,therapeutic_class,country,year
MF 031917,Antineoplastics,China,2017
MF 019818,,China,2006
MF 031373,,China,2017
MF 035298,,India,2020
MF 034294,,India,2019
MF 030448,Antimycobacterials,India,2016
MF 021336,,India,2008
MF 024541,,Spain,2011
MF 020704,,India,2007
MF 022333,,India,2009
MF 022023,,India,2008
MF 018288,,Germany,2005
MF 030244,,India,2016
MF 017343,Skeletal Muscle Relaxants,China,2004
MF 017343,,China,2004
MF 027098,,India,2013
MF 026247,Antimigraine Agents,China,2012
MF 017702,,United States,2004
MF 033422,,United States,2019
MF 030704,Blood Products and Modifiers,India,2016
MF 030336,Blood Products and Modifiers,Canada,2016
MF 031089,Blood Products and Modifiers,India,2016
MF 030153,,India,2016
MF 036103,,China,2021
MF 030116,Central Nervous System Agents,United States,2016
MF 029840,Analgesics,India,2015
MF 027753,,United States,2014
MF 032259,,India,2017
MF 030934,,India,2016
MF 029134,,India,2015
MF 025465,,India,2011
MF 016946,,Germany,2003
MF 036272,Cardiovascular Agents,India,2021
MF 018465,Otic Agents,India,2005
MF 017279,Antibacterials,Mexico,2004
MF 031693,,China,2017
MF 022562,,China,2009
MF 023680,,India,2010
MF 018277,,Switzerland,2005
MF 028411,,India,2014
MF 026339,,United States,2012
MF 017084,,France,2003
MF 020959,Dental and Oral Agents,India,2007
MF 020959,Dermatological Agents,India,2007
MF 022228,Inflammatory Bowel Disease Agents,Spain,2008
MF 021196,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Germany,2007
MF 021196,Respiratory Tract/Pulmonary Agents,Germany,2007
MF 031291,Cardiovascular Agents,India,2017
MF 026540,Cardiovascular Agents,India,2012
MF 034518,Cardiovascular Agents,India,2020
MF 035115,Cardiovascular Agents,India,2020
MF 022686,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",United States,2009
MF 022686,Dermatological Agents,United States,2009
MF 016750,,China,2003
MF 019631,,India,2006
MF 021752,,India,2008
MF 025827,,India,2012
MF 024856,,India,2011
MF 030559,,Malta,2016
MF 028054,,India,2014
MF 020699,,United States,2007
MF 034109,Anesthetics,India,2019
MF 034109,Dental and Oral Agents,India,2019
MF 034109,Ophthalmic Agents,India,2019
MF 027180,Inflammatory Bowel Disease Agents,India,2013
MF 027180,Dental and Oral Agents,India,2013
MF 027180,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2013
MF 027180,Respiratory Tract/Pulmonary Agents,India,2013
MF 028906,,India,2015
MF 018420,,United States,2005
MF 027437,,United States,2013
MF 035513,,India,2020
MF 022972,,France,2009
MF 026347,,India,2012
MF 025070,,Switzerland,2011
MF 029622,Cardiovascular Agents,China,2015
MF 025052,Genitourinary Agents,Italy,2011
MF 033230,Genitourinary Agents,India,2018
MF 033084,Antineoplastics,India,2020
MF 027905,Antineoplastics,India,2014
MF 033196,Antineoplastics,India,2018
MF 034185,,India,2019
MF 026976,,India,2013
MF 033022,,Italy,2018
MF 034550,Respiratory Tract/Pulmonary Agents,India,2020
MF 032408,Respiratory Tract/Pulmonary Agents,Taiwan,2018
MF 034866,,China,2020
MF 020590,,United States,2007
MF 032659,,India,2018
MF 032420,,China,2018
MF 029662,,China,2015
MF 022624,Ophthalmic Agents,Spain,2009
MF 029751,Ophthalmic Agents,China,2015
MF 023899,Antibacterials,India,2010
MF 023899,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2010
MF 028818,,India,2014
MF 024186,Genitourinary Agents,India,2010
MF 022418,Genitourinary Agents,India,2009
MF 031789,Genitourinary Agents,India,2017
MF 030995,Analgesics,United States,2016
MF 023144,Antipsychotics,Spain,2009
MF 028091,Antidepressants,China,2014
MF 026846,,India,2013
MF 027953,,Brazil,2014
MF 033232,,India,2018
MF 033474,,China,2019
MF 026457,,China,2012
MF 034220,Cardiovascular Agents,India,2020
MF 022200,,Germany,2008
MF 030618,Cardiovascular Agents,United Kingdom,2016
MF 026596,Electrolytes/Minerals/Metals/Vitamins,India,2012
MF 023162,Metabolic Bone Disease Agents,China,2009
MF 033275,Dermatological Agents,India,2018
MF 022713,Antivirals,Mexico,2009
MF 022391,Antivirals,India,2009
MF 030779,,China,2016
MF 019525,,China,2006
MF 017935,Anesthetics,France,2004
MF 025068,Anesthetics,Spain,2011
MF 025068,,Spain,2011
MF 016469,Respiratory Tract/Pulmonary Agents,France,2003
MF 035315,Skeletal Muscle Relaxants,India,2020
MF 016345,Antimigraine Agents,India,2002
MF 016345,Respiratory Tract/Pulmonary Agents,India,2002
MF 016345,Blood Products and Modifiers,India,2002
MF 015149,Antimigraine Agents,Germany,2000
MF 019840,Ophthalmic Agents,India,2006
MF 025806,Respiratory Tract/Pulmonary Agents,India,2012
MF 025806,Cardiovascular Agents,India,2012
MF 027073,,United States,2013
MF 024615,,India,2011
MF 031941,,Taiwan,2017
MF 030518,,China,2016
MF 030716,Dermatological Agents,India,2016
MF 036207,,China,2021
MF 032298,,Mexico,2018
MF 028344,,China,2015
MF 018194,Analgesics,United States,2005
MF 031141,Dermatological Agents,Poland,2016
MF 032177,Dermatological Agents,India,2017
MF 031180,Dermatological Agents,India,2016
MF 024359,,Germany,2010
MF 035461,Inflammatory Bowel Disease Agents,China,2020
MF 031052,,China,2016
MF 033732,,India,2019
MF 035770,,India,2021
MF 035831,Antineoplastics,India,2021
MF 025587,Dermatological Agents,India,2011
MF 020203,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2007
MF 020203,Antivirals,China,2007
MF 031496,Antiemetics,India,2017
MF 031198,Antivirals,India,2017
MF 017134,,India,2004
MF 018163,Antidepressants,India,2005
MF 028574,Anti-addiction/Substance Abuse Treatment Agents,India,2014
MF 023208,Anti-addiction/Substance Abuse Treatment Agents,Italy,2009
MF 019153,Anti-addiction/Substance Abuse Treatment Agents,India,2006
MF 016476,Antidepressants,India,2003
MF 018306,Anti-obesity Agents,India,2005
MF 018306,Antidepressants,India,2005
MF 018200,Anti-obesity Agents,China,2005
MF 019835,Anti-obesity Agents,India,2006
MF 023604,,United States,2010
MF 029417,,India,2015
MF 028813,Antivirals,India,2014
MF 021958,,India,2008
MF 021900,Genitourinary Agents,India,2008
MF 024374,Genitourinary Agents,India,2010
MF 028060,Analgesics,India,2014
MF 016353,Dermatological Agents,Italy,2002
MF 025955,Antibacterials,India,2012
MF 025955,Dental and Oral Agents,India,2012
MF 017869,,Japan,2004
MF 024291,,United States,2010
MF 021064,Blood Products and Modifiers,India,2007
MF 018238,Cardiovascular Agents,China,2005
MF 029650,,India,2015
MF 027071,,India,2014
MF 024624,,India,2011
MF 029865,Ophthalmic Agents,India,2015
MF 024106,,India,2010
MF 026504,,Taiwan,2012
MF 031589,Antineoplastics,India,2017
MF 031324,,India,2017
MF 028053,,India,2014
MF 036277,,India,2021
MF 017307,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Germany,2004
MF 017307,Contraceptives,Germany,2004
MF 036083,,India,2021
MF 020871,,United States,2007
MF 035853,,China,2021
MF 025798,,India,2012
MF 017046,,Spain,2003
MF 031190,Dermatological Agents,Israel,2016
MF 016352,,Italy,2003
MF 033995,Ophthalmic Agents,India,2019
MF 019105,,India,2005
MF 019088,,India,2005
MF 016127,Antiparasitics,Switzerland,2002
MF 024028,,India,2010
MF 029097,Anticonvulsants,India,2015
MF 019884,Antimigraine Agents,India,2006
MF 034440,Antimigraine Agents,India,2019
MF 021532,Antimigraine Agents,India,2008
MF 034445,Antineoplastics,India,2020
MF 026774,Antineoplastics,India,2012
MF 026651,Antineoplastics,Taiwan,2012
MF 019523,Antineoplastics,India,2006
MF 024469,Antineoplastics,India,2010
MF 021011,Metabolic Bone Disease Agents,India,2007
MF 023847,Metabolic Bone Disease Agents,China,2010
MF 023768,Antineoplastics,India,2010
MF 027107,Metabolic Bone Disease Agents,Italy,2013
MF 020614,,Denmark,2007
MF 026030,,China,2012
MF 032956,,India,2018
MF 025086,,China,2011
MF 031245,,France,2017
MF 028460,,China,2014
MF 024764,,India,2011
MF 030730,,China,2016
MF 035308,,India,2021
MF 019466,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",United States,2006
MF 017141,Antibacterials,China,2004
MF 017141,Respiratory Tract/Pulmonary Agents,China,2004
MF 031532,Antibacterials,Italy,2017
MF 024098,Antipsychotics,India,2010
MF 027909,Bipolar Agents,India,2014
MF 027909,Antidepressants,India,2014
MF 028563,Bipolar Agents,China,2014
MF 030120,Antidepressants,India,2015
MF 019982,Antipsychotics,China,2006
MF 031641,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2017
MF 022325,,India,2008
MF 024521,,Republic Of Korea,2011
MF 031088,Antineoplastics,India,2016
MF 033291,Antineoplastics,Taiwan,2019
MF 035313,Antineoplastics,India,2021
MF 034899,,India,2020
MF 024179,Analgesics,India,2010
MF 023600,Analgesics,Germany,2010
MF 017529,Dermatological Agents,Israel,2004
MF 016953,Dermatological Agents,Portugal,2003
MF 032390,,India,2017
MF 031153,,China,2016
MF 032920,Antipsychotics,India,2018
MF 035189,Antipsychotics,India,2020
MF 023437,Contraceptives,Switzerland,2010
MF 015147,,Germany,2000
MF 026029,,India,2012
MF 024452,,India,2010
MF 027185,,India,2013
MF 026785,,India,2013
MF 018788,,India,2005
MF 022809,Anti-addiction/Substance Abuse Treatment Agents,China,2009
MF 023948,,France,2010
MF 035927,,India,2021
MF 014942,,Italy,2000
MF 022947,Dermatological Agents,France,2009
MF 021263,Electrolytes/Minerals/Metals/Vitamins,India,2008
MF 021263,Inflammatory Bowel Disease Agents,India,2008
MF 014693,Antifungals,Italy,2000
MF 019096,Antifungals,China,2006
MF 024543,Dermatological Agents,Italy,2011
MF 024543,Electrolytes/Minerals/Metals/Vitamins,Italy,2011
MF 017758,Electrolytes/Minerals/Metals/Vitamins,Italy,2004
MF 017758,Inflammatory Bowel Disease Agents,Italy,2004
MF 017758,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2004
MF 034355,Cardiovascular Agents,India,2020
MF 032019,Cardiovascular Agents,India,2017
MF 033129,Cardiovascular Agents,India,2018
MF 029655,Central Nervous System Agents,India,2015
MF 030085,Central Nervous System Agents,India,2015
MF 028561,Central Nervous System Agents,Germany,2014
MF 027006,Antineoplastics,Germany,2013
MF 024577,,India,2011
MF 028936,,India,2014
MF 030565,,India,2016
MF 036096,,India,2021
MF 020883,,Italy,2007
MF 033920,Skeletal Muscle Relaxants,India,2019
MF 024505,Respiratory Tract/Pulmonary Agents,India,2010
MF 029792,Respiratory Tract/Pulmonary Agents,India,2015
MF 016793,,India,2003
MF 030313,,Italy,2016
MF 027627,Gastrointestinal Agents,India,2013
MF 028120,Antibacterials,Germany,2014
MF 024183,,India,2010
MF 029135,,India,2015
MF 025304,Antivirals,China,2011
MF 031587,,China,2017
MF 034268,Gastrointestinal Agents,China,2019
MF 033171,Inflammatory Bowel Disease Agents,United States,2018
MF 030534,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2017
MF 033714,Inflammatory Bowel Disease Agents,China,2019
MF 033714,Gastrointestinal Agents,China,2019
MF 033714,Respiratory Tract/Pulmonary Agents,China,2019
MF 027451,Gastrointestinal Agents,Canada,2013
MF 029205,,India,2015
MF 030118,,India,2015
MF 034731,,India,2020
MF 023686,,China,2010
MF 031602,,India,2017
MF 035801,,India,2021
MF 025806,,India,2012
MF 034377,,China,2020
MF 033709,Anticonvulsants,India,2019
MF 023380,Gastrointestinal Agents,Italy,2009
MF 027834,Gastrointestinal Agents,India,2014
MF 036423,,France,2021
MF 034742,Ophthalmic Agents,Hungary,2020
MF 035852,Immunological Agents,,2021
MF 035852,Dermatological Agents,,2021
MF 028065,Dermatological Agents,Canada,2014
MF 034270,Immunological Agents,China,2020
MF 034630,Immunological Agents,China,2020
MF 020626,,Italy,2007
MF 031675,Antiparasitics,India,2017
MF 025305,Antiparasitics,China,2011
MF 016357,,China,2003
MF 029828,Central Nervous System Agents,Spain,2015
MF 032450,Central Nervous System Agents,India,2018
MF 033790,,China,2019
MF 028808,,Netherlands,2014
MF 025424,,India,2011
MF 019162,,India,2006
MF 035392,,India,2020
MF 032930,,India,2019
MF 024709,,China,2011
MF 036280,,India,2021
MF 029401,,India,2015
MF 028343,,Canada,2014
MF 030687,,India,2016
MF 031157,,India,2016
MF 019805,,India,2006
MF 019862,,India,2006
MF 020613,,India,2007
MF 028210,,India,2014
MF 018565,,Belgium,2005
MF 022088,,United States,2008
MF 029671,,India,2015
MF 034974,,China,2020
MF 034267,,Switzerland,2019
MF 022652,,India,2009
MF 035227,,India,2020
MF 017369,,Austria,2004
MF 032766,,China,2018
MF 022889,,India,2009
MF 035343,,China,2020
MF 030557,,India,2016
MF 029722,,India,2015
MF 020440,,Belgium,2007
MF 023892,,India,2010
MF 026936,,India,2013
MF 026059,,China,2012
MF 023358,,China,2009
MF 024477,,India,2010
MF 016451,,Italy,2003
MF 025615,,Italy,2011
MF 034398,,China,2020
MF 026314,,India,2012
MF 027250,,United States,2013
MF 023601,,India,2010
MF 018375,,Italy,2005
MF 023401,,India,2009
MF 027807,,India,2013
MF 022115,,Italy,2008
MF 017421,,Germany,2004
MF 029789,,India,2015
MF 034912,,Germany,2020
MF 022992,,United States,2009
MF 031547,,India,2017
MF 021894,,Austria,2008
MF 026291,,Italy,2012
MF 035925,,Germany,2021
MF 033746,,Jordan,2019
MF 019810,,Austria,2006
MF 030408,,India,2016
MF 019512,,United States,2005
MF 028689,,India,2014
MF 024191,,United States,2010
MF 020591,,India,2007
MF 030314,,India,2016
MF 033027,,China,2018
MF 025629,,Spain,2011
MF 036155,,India,2021
MF 034085,,United States,2019
MF 017840,,Spain,2004
MF 027214,,India,2013
MF 028098,,India,2014
MF 023381,,India,2009
MF 023891,,India,2010
MF 030882,,India,2016
MF 018825,,Belgium,2005
MF 032965,,India,2018
MF 027867,,India,2014
MF 032216,,India,2017
MF 024639,,,2011
MF 030424,,India,2016
MF 035228,,France,2020
MF 032195,,China,2017
MF 015193,,Japan,2000
MF 014769,,India,2000
MF 030349,,United Kingdom,2016
MF 034472,,India,2020
MF 018520,,,2005
MF 030529,,Japan,2016
MF 025028,,India,2011
MF 024312,,India,2010
MF 020410,,India,2007
MF 030171,,China,2016
MF 026270,,India,2012
MF 032337,,Poland,2017
MF 027915,,China,2014
MF 028205,,Republic Of Korea,2015
MF 026422,,China,2012
MF 035053,,China,2020
MF 020728,,Italy,2007
MF 022424,,China,2008
MF 033471,,China,2019
MF 026295,,China,2012
MF 019443,,China,2006
MF 024864,,United States,2011
MF 017040,,United States,2003
MF 035128,,United States,2020
MF 031235,,India,2017
MF 032376,,India,2018
MF 019552,,Republic Of Korea,2006
MF 020739,,China,2007
MF 016813,,Belgium,2003
MF 028011,,India,2014
MF 029404,,India,2015
MF 036417,,China,2021
MF 026972,,India,2013
MF 030242,,United States,2016
MF 029001,,Republic Of Korea,2015
MF 020885,,Germany,2007
MF 022247,,India,2008
MF 033805,,China,2019
MF 019160,,Finland,2006
MF 017966,,India,2004
MF 034388,,China,2019
MF 020485,,China,2006
MF 036087,,China,2021
MF 031669,,United States,2017
MF 027571,,India,2013
MF 026791,,China,2012
MF 032637,,China,2018
MF 027308,,India,2013
MF 034269,,China,2021
MF 023003,,India,2009
MF 024307,,India,2010
MF 035023,,United States,2020
MF 028128,,India,2014
MF 029449,,India,2015
MF 027300,,United States,2013
MF 031980,,China,2017
MF 031552,,Germany,2017
MF 025784,,United States,2012
MF 034887,,Taiwan,2020
MF 029672,,India,2015
MF 036007,,India,2021
MF 029133,,India,2015
MF 023640,,France,2010
MF 031910,,Spain,2017
MF 031782,,Belgium,2017
MF 030913,,China,2016
MF 025197,,India,2011
MF 024887,,China,2011
MF 019237,,Italy,2006
MF 026377,,China,2012
MF 026359,,India,2012
MF 018505,,India,2005
MF 020902,,Belgium,2007
MF 020488,Electrolytes/Minerals/Metals/Vitamins,Czech Republic,2007
MF 016992,,Germany,2003
MF 014661,,Italy,2000
MF 029169,,India,2015
MF 019610,,India,2006
MF 028913,,India,2014
MF 031544,Otic Agents,China,2017
MF 034949,,China,2020
MF 032402,,India,2018
MF 020538,,Japan,2007
MF 016707,Cardiovascular Agents,India,2003
MF 023103,Dermatological Agents,Switzerland,2009
MF 015128,Dermatological Agents,Japan,2000
MF 029050,,France,2015
MF 028051,,India,2014
MF 033632,Ophthalmic Agents,Taiwan,2019
MF 031301,,India,2017
MF 031107,,India,2017
MF 030055,,India,2016
MF 034471,,India,2020
MF 033992,,India,2021
MF 032610,Respiratory Tract/Pulmonary Agents,India,2019
MF 031849,Respiratory Tract/Pulmonary Agents,India,2017
MF 036120,,China,2021
MF 030640,,China,2016
MF 016176,,United States,2002
MF 020747,,United States,2007
MF 035854,,China,2021
MF 025308,Antineoplastics,India,2011
MF 025986,Antifungals,India,2012
MF 023850,,India,2011
MF 028016,,India,2014
MF 031699,,India,2017
MF 021440,Anxiolytics,Canada,2008
MF 024912,,France,2012
MF 031612,Antiparkinson Agents,China,2017
MF 031654,Antiparkinson Agents,Japan,2017
MF 017874,Antiparkinson Agents,India,2004
MF 029057,,China,2015
MF 035725,,China,2021
MF 031667,,India,2017
MF 030975,,India,2016
MF 027441,Antineoplastics,China,2013
MF 029763,Anticonvulsants,Italy,2015
MF 028797,Anticonvulsants,India,2014
MF 017538,Ophthalmic Agents,Hungary,2004
MF 018524,Gastrointestinal Agents,India,2005
MF 035592,Analgesics,India,2021
MF 035246,,India,2020
MF 030994,,India,2016
MF 020096,,Mexico,2006
MF 023843,,India,2010
MF 034144,,China,2019
MF 025663,Blood Glucose Regulators,India,2012
MF 024519,Blood Glucose Regulators,India,2011
MF 031143,Inflammatory Bowel Disease Agents,India,2016
MF 033334,Dermatological Agents,Italy,2018
MF 033334,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2018
MF 030971,Inflammatory Bowel Disease Agents,China,2016
MF 022765,Anticonvulsants,India,2009
MF 025825,Anticonvulsants,China,2012
MF 020417,Cardiovascular Agents,India,2007
MF 034941,Cardiovascular Agents,China,2020
MF 023153,Cardiovascular Agents,India,2009
MF 018271,,China,2005
MF 031593,Antiemetics,India,2017
MF 021018,,India,2007
MF 026166,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2012
MF 033016,,India,2018
MF 035860,Anti-obesity Agents,United States,2021
MF 023921,,Italy,2010
MF 018965,,India,2005
MF 022930,,India,2009
MF 019499,,India,2006
MF 024838,,China,2011
MF 024316,Blood Products and Modifiers,China,2010
MF 028665,Blood Products and Modifiers,China,2014
MF 026891,Blood Products and Modifiers,China,2013
MF 035186,,India,2020
MF 032674,Antidepressants,India,2018
MF 033216,,India,2018
MF 022766,,India,2009
MF 036402,,India,2021
MF 019085,,Italy,2006
MF 030136,,India,2015
MF 029197,,India,2015
MF 036112,Respiratory Tract/Pulmonary Agents,India,2021
MF 033607,Central Nervous System Agents,India,2019
MF 032848,Central Nervous System Agents,India,2018
MF 032848,Respiratory Tract/Pulmonary Agents,India,2018
MF 034902,Central Nervous System Agents,China,2020
MF 034902,Cardiovascular Agents,China,2020
MF 029657,Immunological Agents,India,2015
MF 026738,Immunological Agents,China,2012
MF 027216,Antineoplastics,Taiwan,2013
MF 017310,Cardiovascular Agents,India,2004
MF 035461,Ophthalmic Agents,China,2020
MF 018063,Ophthalmic Agents,China,2005
MF 032947,Gastrointestinal Agents,India,2018
MF 024690,Antineoplastics,India,2011
MF 023373,,India,2009
MF 026074,,India,2012
MF 024002,,India,2010
MF 025364,Sleep Disorder Agents,India,2011
MF 027755,Gastrointestinal Agents,United States,2014
MF 036127,,India,2021
MF 036127,Gastrointestinal Agents,India,2021
MF 035055,Electrolytes/Minerals/Metals/Vitamins,United States,2020
MF 021111,,United States,2007
MF 035161,,India,2020
MF 030093,,India,2015
MF 030612,,India,2016
MF 031293,,China,2016
MF 029427,,India,2015
MF 031647,,Japan,2017
MF 036521,,India,2021
MF 029637,,India,2015
MF 035084,,India,2020
MF 031556,,United States,2017
MF 016020,,United States,2002
MF 032601,Blood Glucose Regulators,India,2018
MF 032161,Blood Glucose Regulators,India,2017
MF 033180,Blood Glucose Regulators,Poland,2018
MF 023372,Antiemetics,India,2009
MF 029417,Antiemetics,India,2015
MF 020452,,China,2007
MF 017074,,India,2004
MF 016850,,India,2003
MF 023566,,,2010
MF 027971,,Italy,2014
MF 021755,,Spain,2008
MF 032264,Cardiovascular Agents,Spain,2017
MF 030848,,China,2016
MF 023583,Central Nervous System Agents,United States,2010
MF 016021,Central Nervous System Agents,United States,2002
MF 025132,,United States,2011
MF 034248,,India,2019
MF 019243,Analgesics,Italy,2006
MF 029461,Electrolytes/Minerals/Metals/Vitamins,China,2015
MF 030634,Antiemetics,United Kingdom,2016
MF 036032,Electrolytes/Minerals/Metals/Vitamins,India,2021
MF 032653,,India,2018
MF 032612,,India,2018
MF 015457,Cardiovascular Agents,,2001
MF 017792,Cardiovascular Agents,China,2004
MF 022846,Cardiovascular Agents,India,2009
MF 025527,Antidepressants,India,2011
MF 015724,,India,2001
MF 026871,,India,2013
MF 035219,Antineoplastics,India,2020
MF 032543,Antineoplastics,India,2018
MF 025717,Central Nervous System Agents,Italy,2012
MF 026642,Central Nervous System Agents,India,2012
MF 026515,Central Nervous System Agents,India,2012
MF 022399,,India,2009
MF 031325,,Argentina,2017
MF 033452,,India,2019
MF 032281,,China,2018
MF 027844,,Canada,2013
MF 035830,Cardiovascular Agents,India,2021
MF 027322,,Italy,2014
MF 021247,Anticonvulsants,Italy,2008
MF 031181,Anticonvulsants,India,2016
MF 019334,Blood Products and Modifiers,Spain,2006
MF 023676,"Hormonal Agents, Stimulant/Replacement/Modifying (Pituitary)",Sweden,2010
MF 021574,,Mexico,2008
MF 033725,,India,2019
MF 016531,,India,2003
MF 023293,,India,2009
MF 025777,Antidepressants,Canada,2012
MF 025656,Antidepressants,India,2012
MF 022472,Antidepressants,India,2009
MF 035788,,India,2021
MF 034175,,Italy,2020
MF 017541,,Italy,2004
MF 034561,,India,2020
MF 021779,Skeletal Muscle Relaxants,India,2008
MF 033915,Cardiovascular Agents,India,2019
MF 025131,,United States,2011
MF 032901,,United States,2018
MF 034635,,Taiwan,2020
MF 028991,Central Nervous System Agents,India,2015
MF 028898,Central Nervous System Agents,India,2016
MF 030491,Central Nervous System Agents,India,2016
MF 029851,Central Nervous System Agents,India,2015
MF 030426,Central Nervous System Agents,India,2016
MF 025361,Anxiolytics,India,2011
MF 035488,Anxiolytics,India,2020
MF 033295,,Italy,2018
MF 015974,,United States,2002
MF 014711,Dermatological Agents,Italy,2000
MF 027470,,India,2013
MF 026431,,India,2012
MF 023341,,China,2009
MF 025559,,India,2012
MF 021739,,United States,2008
MF 031539,,India,2017
MF 030834,,India,2016
MF 015195,Central Nervous System Agents,Switzerland,2000
MF 031266,,India,2017
MF 032179,,India,2017
MF 032236,,India,2017
MF 025907,Antiparkinson Agents,India,2012
MF 021899,Antiparkinson Agents,India,2008
MF 032872,Antiparkinson Agents,Malta,2018
MF 017732,,China,2004
MF 017061,,Mexico,2003
MF 034257,,China,2019
MF 028368,,Japan,2014
MF 031105,,Czech Republic,2016
MF 028365,,India,2014
MF 015778,Genitourinary Agents,India,2001
MF 032971,Cardiovascular Agents,India,2018
MF 017727,Anxiolytics,India,2004
MF 022580,Anticonvulsants,India,2009
MF 016245,Anxiolytics,India,2002
MF 016696,Contraceptives,Italy,2003
MF 023289,Blood Products and Modifiers,India,2009
MF 020997,,India,2007
MF 017741,,India,2004
MF 030063,,India,2016
MF 016244,,Israel,2002
MF 016244,Respiratory Tract/Pulmonary Agents,Israel,2002
MF 021396,,India,2008
MF 026179,Respiratory Tract/Pulmonary Agents,India,2012
MF 027665,,India,2014
MF 028651,,India,2014
MF 028651,Gastrointestinal Agents,India,2014
MF 022060,Anxiolytics,India,2008
MF 017285,,United States,2004
MF 019596,Respiratory Tract/Pulmonary Agents,India,2006
MF 024002,Antiemetics,India,2010
MF 021216,Dermatological Agents,India,2008
MF 022438,Central Nervous System Agents,India,2009
MF 024879,Dermatological Agents,India,2011
MF 034479,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2020
MF 015065,Antimycobacterials,Italy,2000
MF 029999,Antimycobacterials,Israel,2016
MF 028933,Ophthalmic Agents,India,2015
MF 016845,,Italy,2003
MF 025826,Antineoplastics,Italy,2012
MF 025807,Antineoplastics,India,2012
MF 017064,,India,2003
MF 017289,,India,2004
MF 034264,Blood Products and Modifiers,Taiwan,2019
MF 028798,Blood Products and Modifiers,India,2015
MF 028922,Blood Products and Modifiers,Canada,2014
MF 032115,Blood Products and Modifiers,India,2017
MF 022940,Electrolytes/Minerals/Metals/Vitamins,India,2009
MF 022576,Antiparkinson Agents,India,2009
MF 029216,,India,2015
MF 022154,,United States,2008
MF 028618,Dermatological Agents,India,2014
MF 023503,Antifungals,India,2010
MF 020165,,India,2007
MF 019918,Dermatological Agents,Switzerland,2006
MF 028701,Antineoplastics,Italy,2014
MF 027181,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",New Zealand,2013
MF 028812,Blood Products and Modifiers,India,2014
MF 034699,Blood Products and Modifiers,India,2020
MF 031482,Blood Products and Modifiers,Israel,2018
MF 036245,,India,2021
MF 031986,,India,2017
MF 035281,,Italy,2020
MF 031860,,Spain,2017
MF 025638,,Poland,2011
MF 033854,Antivirals,India,2019
MF 018230,Antivirals,India,2005
MF 032040,Respiratory Tract/Pulmonary Agents,India,2017
MF 036019,,India,2021
MF 025151,Antivirals,China,2011
MF 034182,Antivirals,Italy,2020
MF 035789,Antivirals,India,2021
MF 017050,Blood Products and Modifiers,Italy,2003
MF 025666,Blood Products and Modifiers,China,2011
MF 029420,,China,2015
MF 025285,Blood Products and Modifiers,United States,2015
MF 029371,Skeletal Muscle Relaxants,United States,2015
MF 025961,Skeletal Muscle Relaxants,United States,2013
MF 023681,Analgesics,United States,2010
MF 023681,Skeletal Muscle Relaxants,United States,2010
MF 023681,Blood Products and Modifiers,United States,2010
MF 021158,Skeletal Muscle Relaxants,United States,2007
MF 021158,Blood Products and Modifiers,United States,2007
MF 028281,Bipolar Agents,India,2014
MF 028126,Bipolar Agents,India,2014
MF 029794,Antipsychotics,India,2016
MF 027452,Antipsychotics,India,2013
MF 028164,Bipolar Agents,India,2014
MF 034756,Antipsychotics,India,2020
MF 027570,Antipsychotics,India,2013
MF 033872,Bipolar Agents,Italy,2019
MF 023247,Anxiolytics,India,2009
MF 027608,,Ireland,2013
MF 022487,Gastrointestinal Agents,China,2008
MF 029519,Antidementia Agents,India,2015
MF 029826,Antidementia Agents,Sweden,2015
MF 033071,Cardiovascular Agents,India,2018
MF 032641,Cardiovascular Agents,India,2018
MF 018216,,France,2005
MF 034173,,India,2019
MF 032341,Blood Products and Modifiers,India,2018
MF 031843,,Canada,2017
MF 031874,,Czech Republic,2017
MF 025133,,United States,2011
MF 034040,Electrolytes/Minerals/Metals/Vitamins,Germany,2019
MF 032240,Electrolytes/Minerals/Metals/Vitamins,United States,2018
MF 031558,,United States,2017
MF 015083,,Spain,2000
MF 035830,,India,2021
MF 023241,,Germany,2009
MF 021045,Dermatological Agents,Ireland,2008
MF 020249,,Republic Of Korea,2007
MF 026873,,Poland,2013
MF 022045,,India,2008
MF 021500,,Italy,2008
MF 030261,,India,2016
MF 021188,Analgesics,United Kingdom,2007
MF 021285,,India,2008
MF 027741,Ophthalmic Agents,China,2013
MF 030277,,India,2016
MF 034832,,China,2020
MF 027500,,United States,2013
MF 030423,,India,2016
MF 033613,,Republic Of Korea,2019
MF 026784,,India,2013
MF 024661,,China,2011
