Products,Manufacturer,Manufacturing type,City,Country,Activeness,Volume,Lat,Long
Iofzucnwrfkjgogx,Uzujethhmfjmwayk,Downstream,Clifton,United States,Unconfirmed,564.9015819,17.09130668,-61.68417956
Vovssqyzzwrnoyuf,Iofzucnwrfkjgogx,Upstream,Beijing,China,Yes,692.2106842,-29.92429844,45.7966191
Rpxlverifeldawof,Vovssqyzzwrnoyuf,Downstream,Mumbai,India,Unconfirmed,173.0779451,34.77965271,-51.38146472
Oxyfzpmgtasqxxig,Rpxlverifeldawof,Upstream,Berlin,Germany,Unconfirmed,5.786243753,-33.57849296,-71.72380661
Aggtozsnfdbuawno,Oxyfzpmgtasqxxig,Upstream,Fairfax,United States,Unconfirmed,19.59480985,-14.70434275,87.90615433
Pzwozuqrgrbaffuu,Aggtozsnfdbuawno,Downstream,Clifton,United States,Unconfirmed,377.9280617,30.30294027,-75.86767235
Gzhvfasxxqnigpef,Pzwozuqrgrbaffuu,Upstream,Beijing,China,Unconfirmed,87.16409784,31.54114124,88.32853147
Lljaxbnbwimbntoa,Gzhvfasxxqnigpef,Downstream,Mumbai,India,Unconfirmed,41.45065998,-24.65042639,-70.86383774
Pdymrivhjefhjcft,Lljaxbnbwimbntoa,Upstream,Berlin,Germany,Unconfirmed,404.3648783,32.47671549,-53.78676152
Uenkkueekxddfxrt,Pdymrivhjefhjcft,Upstream,Fairfax,United States,Yes,415.6112569,-43.80907979,-24.04653114
Jtpgxxnihsqjvtql,Uenkkueekxddfxrt,Downstream,Clifton,United States,Unconfirmed,587.5299467,-10.30746288,-17.06147987
Jvzzvijclichkdwa,Jtpgxxnihsqjvtql,Upstream,Beijing,China,Yes,301.266517,12.66854008,-66.97596272
Hxbossdcjeewimhk,Jvzzvijclichkdwa,Downstream,Mumbai,India,Unconfirmed,214.1515122,-36.11002885,82.48126664
Rbpdnpdgpqkwdrfu,Hxbossdcjeewimhk,Upstream,Berlin,Germany,Yes,169.8052598,17.23856189,-28.8885808
Rbictpokuipswlhq,Rbpdnpdgpqkwdrfu,Upstream,Fairfax,United States,Yes,955.5561948,25.64872623,88.31374473
Kfjlmlpvjbnejdat,Rbictpokuipswlhq,Downstream,Clifton,United States,Unconfirmed,69.07492685,-26.86931977,67.95912598
Vljuxwdcjmeygdpb,Kfjlmlpvjbnejdat,Upstream,Beijing,China,Yes,649.4983578,2.164377648,-43.97059629
Fynrxlarrwqtyawp,Vljuxwdcjmeygdpb,Downstream,Mumbai,India,Unconfirmed,499.298427,18.60313298,-66.02670211
Svbpudyvqigbapgp,Fynrxlarrwqtyawp,Upstream,Berlin,Germany,Unconfirmed,965.6025346,3.311042014,37.93214109
Ymwizuvytynxnrga,Svbpudyvqigbapgp,Upstream,Fairfax,United States,Yes,358.5826463,-20.43434948,-29.90523277
Acngypfpmkdfvjqg,Ymwizuvytynxnrga,Downstream,Clifton,United States,Yes,269.5287474,33.15039255,-82.76927008
Onnjqjelngcdgohe,Acngypfpmkdfvjqg,Upstream,Beijing,China,Unconfirmed,13.35645775,35.38524255,-38.3821045
Ulhfhhaddhlkxldg,Onnjqjelngcdgohe,Downstream,Mumbai,India,Unconfirmed,185.1402859,-16.54755104,35.08357398
Ulwwkglplaxqumav,Ulhfhhaddhlkxldg,Upstream,Berlin,Germany,Unconfirmed,884.033612,25.21056339,-54.55822531
Jeqvibbbwwgttiiw,Ulwwkglplaxqumav,Upstream,Fairfax,United States,Unconfirmed,479.9870918,2.182738991,-55.70929991
Fyljhekvgnmwxlio,Jeqvibbbwwgttiiw,Downstream,Clifton,United States,Yes,147.9436661,31.13277666,22.72100908
Qimquygrolnkcvmq,Fyljhekvgnmwxlio,Upstream,Beijing,China,Unconfirmed,792.176405,-2.552620609,83.29221468
Dgigousbfzwyjaim,Qimquygrolnkcvmq,Downstream,Mumbai,India,Unconfirmed,398.3537001,39.48854881,-8.830449049
Stxbnuomtdlhbbqi,Dgigousbfzwyjaim,Upstream,Berlin,Germany,Yes,110.9503821,16.49637149,-42.73176277
Kvvpbnvvujghpmlb,Stxbnuomtdlhbbqi,Upstream,Fairfax,United States,Unconfirmed,540.7625714,-12.51615311,75.49118214
Xskiauyvlbvjgeha,Kvvpbnvvujghpmlb,Downstream,Clifton,United States,Unconfirmed,35.57664382,21.83189288,15.05746752
Njvvelywnrmqnacu,Xskiauyvlbvjgeha,Upstream,Beijing,China,Unconfirmed,9.790526612,33.45410133,57.20589856
Rppvlxexuppewpgg,Njvvelywnrmqnacu,Downstream,Mumbai,India,Unconfirmed,856.6202025,31.66753883,57.1230424
Fntqyttixqbrfjnb,Rppvlxexuppewpgg,Upstream,Berlin,Germany,Unconfirmed,977.4561942,-26.94079029,55.34979907
Bhqketcknlucybtm,Fntqyttixqbrfjnb,Upstream,Fairfax,United States,Yes,601.2211608,29.84270245,11.88746007
Zaqibbkakzwrsjhw,Bhqketcknlucybtm,Downstream,Clifton,United States,Yes,976.2059543,3.346935041,-17.69022217
Mzwafxhxgqzdpcxy,Zaqibbkakzwrsjhw,Upstream,Beijing,China,Yes,105.7987946,35.02854899,-61.85191786
Dxbknzkqicrxxdwk,Mzwafxhxgqzdpcxy,Downstream,Mumbai,India,Unconfirmed,783.8432608,21.76531104,19.38335981
Ofhwosqbazjpxsfe,Dxbknzkqicrxxdwk,Upstream,Berlin,Germany,Yes,780.0534785,-8.267927954,1.677884348
Cbgsczwnwkufqpoq,Ofhwosqbazjpxsfe,Upstream,Fairfax,United States,Unconfirmed,453.6167041,12.83606909,40.91785671
Hdjswfofdwjtuooq,Cbgsczwnwkufqpoq,Downstream,Clifton,United States,Yes,70.09148248,-22.83521614,-21.85357711
Shooxtcrfmdnmkgs,Hdjswfofdwjtuooq,Upstream,Beijing,China,Unconfirmed,659.3031152,20.37888738,-18.22266874
Szflmhzuacmadjgf,Shooxtcrfmdnmkgs,Downstream,Mumbai,India,Unconfirmed,224.8100737,35.97273481,-38.11579863
Aqwdigctqvgfkluj,Szflmhzuacmadjgf,Upstream,Berlin,Germany,Unconfirmed,345.3902402,13.38457295,-63.57649276
Dbsohlcgrqfctqkp,Aqwdigctqvgfkluj,Upstream,Fairfax,United States,Unconfirmed,299.639002,33.87390843,-53.81692802
Flixzfazhdrslgqq,Dbsohlcgrqfctqkp,Downstream,Clifton,United States,Yes,622.8920199,-11.81219728,-79.28090037
Ctvdkhvbtyhrbsrm,Flixzfazhdrslgqq,Upstream,Beijing,China,Yes,124.156943,0.850811122,21.33826793
Ohxbgdbgjryfzvvk,Ctvdkhvbtyhrbsrm,Downstream,Mumbai,India,Unconfirmed,918.5218623,-38.91450191,-89.48057123
Wqbjxyhrfkhuarfk,Ohxbgdbgjryfzvvk,Upstream,Berlin,Germany,Yes,215.3582592,17.48229721,-74.46533645
Zjpehtrbhjuazorb,Wqbjxyhrfkhuarfk,Upstream,Fairfax,United States,Unconfirmed,350.6267298,16.50755384,1.779144684
Pcmfwjaezdcqdfsk,Zjpehtrbhjuazorb,Downstream,Clifton,United States,Unconfirmed,858.4700122,17.67295237,-36.26157414
Uiijizvuipwcjwzz,Pcmfwjaezdcqdfsk,Upstream,Beijing,China,Yes,376.4193471,10.53087769,60.8536167
Ltgpojgrrlicuaxb,Uiijizvuipwcjwzz,Downstream,Mumbai,India,Yes,901.610348,25.45649849,-1.305389176
Ebuesqnopnlcsraz,Ltgpojgrrlicuaxb,Upstream,Berlin,Germany,Yes,236.3327097,-40.54120112,64.91313503
Vfcwvsoagarfvkfr,Ebuesqnopnlcsraz,Upstream,Fairfax,United States,Unconfirmed,378.0081259,-8.510366629,53.78184194
Xheevsjdyjjtjjfw,Vfcwvsoagarfvkfr,Downstream,Clifton,United States,Yes,613.4104551,23.06230538,-67.56823618
Vijcifwgrtpgcjxh,Xheevsjdyjjtjjfw,Upstream,Beijing,China,Yes,744.3754729,43.45798015,56.90208772
Gdzrnybcsqnuaeox,Vijcifwgrtpgcjxh,Downstream,Mumbai,India,Unconfirmed,856.6651284,-36.38349659,70.45824243
Aupfiapstospocch,Gdzrnybcsqnuaeox,Upstream,Berlin,Germany,Yes,919.9589988,-4.915309278,-29.5343806
Nutmghskwzxqiohc,Aupfiapstospocch,Upstream,Fairfax,United States,Yes,441.3210383,15.39736427,-53.85330492
Xmsqsbfxospxyndv,Nutmghskwzxqiohc,Downstream,Clifton,United States,Yes,28.4013991,2.04828759,56.68808154
Sjqysgenfhgesdmk,Xmsqsbfxospxyndv,Upstream,Beijing,China,Yes,553.6741174,-38.88748416,-65.07243836
Aazzepmwwtmqawcg,Sjqysgenfhgesdmk,Downstream,Mumbai,India,Unconfirmed,956.5774674,-20.22269761,14.69661158
Thcurlrfecivtiso,Aazzepmwwtmqawcg,Upstream,Berlin,Germany,Unconfirmed,364.7290501,36.5200508,-86.88064877
Hexdsucprpkgkhdq,Thcurlrfecivtiso,Upstream,Fairfax,United States,Unconfirmed,878.8932462,24.23273414,-1.269042251
Shiqurgdqqttyifg,Hexdsucprpkgkhdq,Downstream,Clifton,United States,Unconfirmed,622.4832799,-23.66982385,-89.2355227
Mdjgkrlkhigffcxm,Shiqurgdqqttyifg,Upstream,Beijing,China,Yes,842.4530916,-21.39970008,-51.47746168
Ecnnnzketcrpryie,Mdjgkrlkhigffcxm,Downstream,Mumbai,India,Yes,626.2473798,-14.21640788,-63.99618621
Molybyudaqpbuwdg,Ecnnnzketcrpryie,Upstream,Berlin,Germany,Yes,115.0845855,-36.02680012,45.92494668
Idztgqxwvzrejrfs,Molybyudaqpbuwdg,Upstream,Fairfax,United States,Yes,685.7657836,44.90660882,25.88533282
Reydbjhgoqlrrnna,Idztgqxwvzrejrfs,Downstream,Clifton,United States,Unconfirmed,348.1255801,-29.09284978,46.63726827
Iqwfhmibufricoqt,Reydbjhgoqlrrnna,Upstream,Beijing,China,Unconfirmed,563.8598018,-39.41580348,-86.74997576
Rlweudkzsveoohrk,Iqwfhmibufricoqt,Downstream,Mumbai,India,Yes,420.0217057,36.78563656,-14.6452658
Zyapvjtpyxdmekkx,Rlweudkzsveoohrk,Upstream,Berlin,Germany,Yes,844.6234446,-36.43780196,-58.79684591
Cigoxxzzksnszeta,Zyapvjtpyxdmekkx,Upstream,Fairfax,United States,Unconfirmed,645.2784305,-36.78363474,-59.3927436
Crmaxbzexdrpqome,Cigoxxzzksnszeta,Downstream,Clifton,United States,Yes,342.9611805,-40.99234269,-39.36654884
Hqzllfukocgmebko,Crmaxbzexdrpqome,Upstream,Beijing,China,Yes,305.562279,39.45207065,-49.02795365
Injgxcghqotpmdzu,Hqzllfukocgmebko,Downstream,Mumbai,India,Unconfirmed,566.0569264,-17.93711462,76.59838558
Qtmuxrvxkqsttzqr,Injgxcghqotpmdzu,Upstream,Fairfax,United States,Yes,451.0090446,-18.38292725,28.3911987
Qvmrbeahutgitrsl,Qtmuxrvxkqsttzqr,Downstream,Clifton,United States,Unconfirmed,826.1830056,-36.51550369,72.25118746
Etugcgagedgpuhvu,Qvmrbeahutgitrsl,Upstream,Beijing,China,Unconfirmed,805.1039884,-4.442543896,44.46746734
Qtjdpmjccbfhhdal,Etugcgagedgpuhvu,Downstream,Mumbai,India,Yes,787.7984774,-21.13805241,43.80440433
Eqosqdtxyamsijcc,Qtjdpmjccbfhhdal,Upstream,Berlin,Germany,Unconfirmed,370.2172749,28.494588,78.65002635
Izfriegkhipziwbl,Eqosqdtxyamsijcc,Upstream,Fairfax,United States,Unconfirmed,176.7761643,-4.333876749,67.29699598
Sifbtvihjtkdircj,Izfriegkhipziwbl,Downstream,Clifton,United States,Unconfirmed,457.6182354,-2.501053716,-87.25555635
Ynwizbzbkwsnrbhv,Sifbtvihjtkdircj,Upstream,Beijing,China,Unconfirmed,583.2165759,40.39624871,-40.65679772
Jbvfsswwqtssrrdf,Ynwizbzbkwsnrbhv,Downstream,Mumbai,India,Unconfirmed,687.8011513,-38.30663107,30.49620935
Putcptnakpblzwcp,Jbvfsswwqtssrrdf,Upstream,Berlin,Germany,Unconfirmed,590.4216416,30.52462622,-6.47500647
Hbbffzyuassdptet,Putcptnakpblzwcp,Upstream,Fairfax,United States,Yes,682.5397166,14.09010234,33.48700213
Dzfckqqnmaxmtfnn,Hbbffzyuassdptet,Downstream,Clifton,United States,Yes,693.650066,-27.03829198,-18.0159316
Iwerxnfuczwripwi,Dzfckqqnmaxmtfnn,Upstream,Beijing,China,Unconfirmed,671.6448379,3.967614639,3.85150884
Eabfqgekarghzamo,Iwerxnfuczwripwi,Downstream,Mumbai,India,Unconfirmed,401.0336923,-2.827213781,81.07925937
Wojyjtohwklyhafh,Eabfqgekarghzamo,Upstream,Berlin,Germany,Unconfirmed,185.5929838,4.965933775,-8.503877472
Jdebaukxqxdiudys,Wojyjtohwklyhafh,Upstream,Fairfax,United States,Unconfirmed,974.0564168,-36.39671328,-68.70115556
Tyjhdyeikrxvaibu,Jdebaukxqxdiudys,Downstream,Clifton,United States,Unconfirmed,480.2695012,22.31772935,-70.58196537
Xtrawgpvhuhxmrce,Tyjhdyeikrxvaibu,Upstream,Beijing,China,Unconfirmed,357.0326292,6.394003443,-19.7376472
Ywvlggnizuemmoyi,Xtrawgpvhuhxmrce,Downstream,Mumbai,India,Unconfirmed,210.9013881,-10.79512611,59.60854044
Izmqlsiswsmyizhu,Ywvlggnizuemmoyi,Upstream,Berlin,Germany,Unconfirmed,134.2151993,-9.949762132,-72.08518726
Nicsbcpqzgzwsopg,Izmqlsiswsmyizhu,Upstream,Fairfax,United States,Unconfirmed,727.109039,-25.60043575,68.33191796
Ydvdyyasjccesqwf,Nicsbcpqzgzwsopg,Downstream,Clifton,United States,Unconfirmed,700.9261797,36.94133545,28.44740917
Fuajgxfthufhbvha,Ydvdyyasjccesqwf,Upstream,Beijing,China,Unconfirmed,854.0842176,23.86173248,4.813350148
Izmvdzelwhnrzwls,Fuajgxfthufhbvha,Downstream,Mumbai,India,Unconfirmed,32.76453112,-29.0182881,66.67443405
Nedsovdsjpwkyuiv,Izmvdzelwhnrzwls,Upstream,Berlin,Germany,Unconfirmed,980.384721,1.512430776,5.800128007
Ujvyqgyrqtbhkcea,Nedsovdsjpwkyuiv,Upstream,Fairfax,United States,Unconfirmed,15.55910924,-13.6163162,-88.73211591
Ogjcuojyxyrrmdfw,Ujvyqgyrqtbhkcea,Downstream,Clifton,United States,Unconfirmed,424.2003725,-39.17055473,-55.77926306
Evvfpneezburbrmy,Ogjcuojyxyrrmdfw,Upstream,Beijing,China,Unconfirmed,354.6126658,5.981738785,4.850098325
Zcvxlabgyrqtikpw,Evvfpneezburbrmy,Downstream,Mumbai,India,Yes,773.0888105,31.71589965,60.55757963
Qfqczhyqhdjuikwx,Zcvxlabgyrqtikpw,Upstream,Berlin,Germany,Unconfirmed,493.8535172,3.72132161,10.86096598
Qanbzuxlbnmeomzl,Qfqczhyqhdjuikwx,Upstream,Fairfax,United States,Yes,835.0731367,39.13953525,-11.59262381
Suhfhwcgoqvwkice,Qanbzuxlbnmeomzl,Downstream,Clifton,United States,Yes,862.6156756,27.53589466,-78.6357438
Ptbrvvybsrdtnolh,Suhfhwcgoqvwkice,Upstream,Beijing,China,Yes,101.978005,-40.9628575,-76.61184741
Jvrewpmtkebivmtz,Ptbrvvybsrdtnolh,Downstream,Mumbai,India,Unconfirmed,536.7237156,8.82793331,-57.84363951
Yjypsiguhsdwsdqy,Jvrewpmtkebivmtz,Upstream,Berlin,Germany,Yes,754.5554301,-16.92896757,2.250947552
Fftiwcpqctrzemix,Yjypsiguhsdwsdqy,Upstream,Fairfax,United States,Yes,795.1123483,23.43111701,-50.96330406
Oetvnhefstiiwovd,Fftiwcpqctrzemix,Downstream,Clifton,United States,Unconfirmed,349.936508,-30.26854101,47.74404595
Uszrywrjxydojmmi,Oetvnhefstiiwovd,Upstream,Beijing,China,Unconfirmed,678.0739607,32.88162681,24.85977942
Nxzszxlklolvvzqw,Uszrywrjxydojmmi,Downstream,Mumbai,India,Yes,348.5283674,25.09039526,-38.15154382
Mciwgfuvdzjrblhi,Nxzszxlklolvvzqw,Upstream,Berlin,Germany,Unconfirmed,496.5018529,-1.309738073,-9.083207831
Utnzdpjjdldlkydd,Mciwgfuvdzjrblhi,Upstream,Fairfax,United States,Yes,724.9949274,-13.31114142,-68.03282248
Siybklddzloikkzm,Utnzdpjjdldlkydd,Downstream,Clifton,United States,Yes,491.3735232,-35.96107662,71.61566085
Ennilcmozsaniwxb,Siybklddzloikkzm,Upstream,Beijing,China,Unconfirmed,507.9400246,37.14279303,-37.99725574
Smbfbmfpnfkpairl,Ennilcmozsaniwxb,Downstream,Mumbai,India,Unconfirmed,876.3123269,40.2233372,56.81334222
Yjgfyeegcspdobwk,Smbfbmfpnfkpairl,Upstream,Berlin,Germany,Yes,11.67297188,-41.56348866,-80.33516837
Chouuijreisjfhtg,Yjgfyeegcspdobwk,Upstream,Fairfax,United States,Unconfirmed,538.1724958,-28.39640035,60.15689883
Yxlaptcggswxliyf,Chouuijreisjfhtg,Downstream,Clifton,United States,Yes,320.5920312,-44.5516852,-57.39402563
Inziinieldtbccjq,Yxlaptcggswxliyf,Upstream,Beijing,China,Unconfirmed,300.8649761,44.70508698,73.67858166
Qoverdoftukiuljn,Inziinieldtbccjq,Downstream,Mumbai,India,Yes,945.6427004,-37.98718844,-15.39558799
Rlkviqjsadesqilw,Qoverdoftukiuljn,Upstream,Berlin,Germany,Yes,805.2386549,-40.337901,-3.830796203
Kcsamfmodzemrnqp,Rlkviqjsadesqilw,Upstream,Fairfax,United States,Yes,396.5013655,12.16211549,-45.78961716
Xthbmnixplhmauqz,Kcsamfmodzemrnqp,Downstream,Clifton,United States,Unconfirmed,511.3748761,-14.15479781,72.76366132
Ywhagzeudghknwbp,Xthbmnixplhmauqz,Upstream,Beijing,China,Unconfirmed,457.8737709,-44.37753629,-64.30347753
Hrztzusukfyxyrsi,Ywhagzeudghknwbp,Downstream,Mumbai,India,Unconfirmed,355.4411578,-40.45269824,-34.9028412
Eysvnwdymtkphsip,Hrztzusukfyxyrsi,Upstream,Berlin,Germany,Unconfirmed,974.8830345,18.64175034,-43.18785455
Effjfipczjwyfkyj,Eysvnwdymtkphsip,Upstream,Fairfax,United States,Yes,874.4027985,-25.76392926,-44.09015377
Zeaakjtygicuifhs,Effjfipczjwyfkyj,Downstream,Clifton,United States,Yes,412.3983302,-37.64294601,86.70493287
Mfnzmnccbkmxmfjv,Zeaakjtygicuifhs,Upstream,Beijing,China,Unconfirmed,614.6446681,-25.3049043,-45.27073147
Bmdpbukwmhzrduaa,Mfnzmnccbkmxmfjv,Downstream,Mumbai,India,Unconfirmed,370.2047877,31.82858847,47.63709921
Zhxgvglwfitbjhog,Bmdpbukwmhzrduaa,Upstream,Berlin,Germany,Yes,408.6000368,9.612136253,2.771021699
Elkawmojbfnsmvej,Zhxgvglwfitbjhog,Upstream,Fairfax,United States,Yes,224.2101543,-29.74355246,32.37387788
Hlbbxhfdoxadfesj,Elkawmojbfnsmvej,Downstream,Clifton,United States,Yes,416.0810428,-44.82631651,-23.80521842
Fphzfgyvgnqtxgpb,Hlbbxhfdoxadfesj,Upstream,Beijing,China,Unconfirmed,351.3022961,-20.83221512,22.41602922
Hlizdlhlnomocrvw,Fphzfgyvgnqtxgpb,Downstream,Mumbai,India,Unconfirmed,106.0557003,26.65903235,-35.6761591
Bfcumacxlxlfrrca,Hlizdlhlnomocrvw,Upstream,Berlin,Germany,Unconfirmed,382.5652371,-42.65406474,43.40323374
Ibcemifrougcjkqe,Bfcumacxlxlfrrca,Upstream,Fairfax,United States,Yes,424.6931591,20.90103427,-7.036595828
Aekvupfhjrwkeqav,Ibcemifrougcjkqe,Downstream,Clifton,United States,Unconfirmed,453.1227096,-23.30039527,-17.65751842
Wtwklvhgmnpfomyv,Aekvupfhjrwkeqav,Upstream,Beijing,China,Yes,660.0793018,43.33872209,84.35064743
Bmjwxtrnzbgtyuhl,Wtwklvhgmnpfomyv,Downstream,Mumbai,India,Unconfirmed,110.0817586,-30.72969003,-75.51727528
Jgpjkpbtjplarceb,Bmjwxtrnzbgtyuhl,Upstream,Berlin,Germany,Yes,704.8576739,-20.98732175,82.67328041
Yusllmbmrbazafqa,Jgpjkpbtjplarceb,Upstream,Fairfax,United States,Unconfirmed,263.2706138,22.07106864,-70.94771412
Sjihonyhyocaljuz,Yusllmbmrbazafqa,Downstream,Clifton,United States,Yes,647.9149219,-18.22046085,-8.828027805
Uciagspsmxyacisq,Sjihonyhyocaljuz,Upstream,Beijing,China,Unconfirmed,923.6951172,-7.818162791,38.79425854
Wygiuldpmfpbpdmj,Uciagspsmxyacisq,Downstream,Mumbai,India,Unconfirmed,640.5436538,-10.67815782,-61.82572881
Bcrzbmraoqbocwsm,Wygiuldpmfpbpdmj,Upstream,Berlin,Germany,Unconfirmed,295.669181,11.93553503,-29.76661701
Pcnlkizzjbuvcgzw,Bcrzbmraoqbocwsm,Upstream,Fairfax,United States,Unconfirmed,315.6176282,38.08439286,74.4509329
Chdsxgkzrdnfexxt,Pcnlkizzjbuvcgzw,Downstream,Clifton,United States,Yes,302.6131108,31.3956622,80.51824948
Zdrpfgkvojotrfuf,Chdsxgkzrdnfexxt,Upstream,Beijing,China,Unconfirmed,251.3895192,-20.67500487,17.17370722
Dgcwzlidvilivzoh,Zdrpfgkvojotrfuf,Downstream,Mumbai,India,Yes,669.3957049,-12.25359287,-54.39047514
Zgywgmtdwrqojuby,Dgcwzlidvilivzoh,Upstream,Berlin,Germany,Yes,494.1454465,-43.17780764,28.03571561
Agnfinxekswcoaog,Zgywgmtdwrqojuby,Upstream,Fairfax,United States,Unconfirmed,266.2836534,24.00097735,-62.96684129
Dhlnlmtpyhibzbli,Agnfinxekswcoaog,Downstream,Clifton,United States,Unconfirmed,377.8769899,2.635084953,2.940589459
Brteddyahuubpano,Dhlnlmtpyhibzbli,Upstream,Beijing,China,Unconfirmed,936.3035027,41.44375417,6.650721916
Sojjtpteibmlpwtc,Brteddyahuubpano,Downstream,Mumbai,India,Yes,951.1783737,-21.65111454,-58.46280607
Ngzdztvwmvlmpgwv,Sojjtpteibmlpwtc,Upstream,Berlin,Germany,Unconfirmed,864.7959412,42.91637326,-74.06637469
Pcmsonlthxmcnlik,Ngzdztvwmvlmpgwv,Upstream,Fairfax,United States,Unconfirmed,377.9119373,-5.252996335,-36.1878403
Jkdzujosmekrmijs,Pcmsonlthxmcnlik,Downstream,Clifton,United States,Unconfirmed,263.623914,43.44104128,48.09156638
Tqsdrzbtelmgsowx,Jkdzujosmekrmijs,Upstream,Beijing,China,Yes,50.04808551,-22.21315331,-45.82846115
Khmtocvfjlkfcswv,Tqsdrzbtelmgsowx,Downstream,Mumbai,India,Unconfirmed,828.8450692,44.30614396,-11.03763233
Mixrvxdksbsklohd,Khmtocvfjlkfcswv,Upstream,Berlin,Germany,Yes,471.0607079,13.44781078,-75.44146178
Lgvouthtqbblvsnp,Mixrvxdksbsklohd,Upstream,Fairfax,United States,Yes,383.203891,-21.22969182,7.216182702
Tznimlllvdznzrrf,Lgvouthtqbblvsnp,Downstream,Clifton,United States,Yes,753.2485876,-28.65554585,89.86033796
Mczoektgiknowrzj,Tznimlllvdznzrrf,Upstream,Beijing,China,Yes,543.4968745,12.58408391,20.0796484
Uqdpoumabvtnqqko,Mczoektgiknowrzj,Downstream,Mumbai,India,Yes,500.4087344,3.61159877,58.38184318
Qyuevjbnltkaudbn,Uqdpoumabvtnqqko,Upstream,Berlin,Germany,Unconfirmed,846.6143966,-28.58768279,83.69759699
Xbjyotcdcdrwngeb,Qyuevjbnltkaudbn,Upstream,Fairfax,United States,Unconfirmed,369.5011813,43.37328389,32.31211326
Xlvupgealglkdscp,Xbjyotcdcdrwngeb,Downstream,Clifton,United States,Yes,457.5703294,-5.42711319,21.38763312
Pwtekztdexffowtm,Xlvupgealglkdscp,Upstream,Beijing,China,Unconfirmed,236.9779284,-20.74421607,23.87038109
Nwoujiyayjsxvphy,Pwtekztdexffowtm,Downstream,Mumbai,India,Yes,183.6749695,37.17753512,82.98914007
Hmjqsqzsglrtpwyh,Nwoujiyayjsxvphy,Upstream,Berlin,Germany,Unconfirmed,834.6863831,-12.1623715,-55.29946055
Wkplixqlosvadegz,Hmjqsqzsglrtpwyh,Upstream,Fairfax,United States,Unconfirmed,364.3473125,18.03319122,-44.44351989
Otpgsvuqfzhlvhrd,Wkplixqlosvadegz,Downstream,Clifton,United States,Yes,909.0660815,-26.00089532,-9.852676521
Zeadopqezywvvxxp,Otpgsvuqfzhlvhrd,Upstream,Beijing,China,Yes,588.8229793,5.517828162,11.22507146
Ttywsayhlqstlsqc,Zeadopqezywvvxxp,Downstream,Mumbai,India,Unconfirmed,499.505966,39.8752609,72.98201995
Uvslpsxfrrtfywfm,Ttywsayhlqstlsqc,Upstream,Berlin,Germany,Unconfirmed,704.2186703,1.412845437,22.80774007
Bywrcwxezypedbll,Uvslpsxfrrtfywfm,Upstream,Fairfax,United States,Unconfirmed,477.9860343,-16.08481058,-14.10033623
Axhffrbkndjsmaat,Bywrcwxezypedbll,Downstream,Clifton,United States,Unconfirmed,46.89988382,26.43934693,-87.04364878
Piqsdwyytuzuglzn,Axhffrbkndjsmaat,Upstream,Beijing,China,Yes,281.6081261,-19.21038761,57.11182945
Ihurcequnbfjtbes,Piqsdwyytuzuglzn,Downstream,Mumbai,India,Yes,872.2421028,-13.05362625,79.24190159
Weapitcifzedbjsh,Ihurcequnbfjtbes,Upstream,Berlin,Germany,Yes,201.0827886,-1.033445014,-56.40364817
Jxuwuihsunwssnuh,Weapitcifzedbjsh,Upstream,Fairfax,United States,Yes,272.3575753,23.79274547,11.89647229
Kriclwhbqojjrszk,Jxuwuihsunwssnuh,Downstream,Clifton,United States,Yes,698.1091994,-27.57399145,47.89570859
Zpqmzlxhrgnvrzlj,Kriclwhbqojjrszk,Upstream,Beijing,China,Yes,391.5254547,-19.3077679,-48.83171596
Sufucoalzaggwjfx,Zpqmzlxhrgnvrzlj,Downstream,Mumbai,India,Unconfirmed,173.8784362,-6.69729743,86.75985183
Ekloapmgprivcwxh,Sufucoalzaggwjfx,Upstream,Berlin,Germany,Yes,498.8369124,-40.02770232,39.67009585
Qwnynvcseqbfsczd,Ekloapmgprivcwxh,Upstream,Fairfax,United States,Yes,851.3311912,-14.97986245,-64.77808529
Jmkluhvtgpeffste,Qwnynvcseqbfsczd,Downstream,Clifton,United States,Unconfirmed,705.5864711,-11.22631308,56.10614146
Yatbrcfywhgxqwkz,Jmkluhvtgpeffste,Upstream,Beijing,China,Yes,242.4712404,8.255094734,-6.475143874
Awcqzhkgzdqtsnym,Yatbrcfywhgxqwkz,Downstream,Mumbai,India,Yes,849.190996,-16.56593977,-67.55136719
Neflwglqgdejoizz,Awcqzhkgzdqtsnym,Upstream,Berlin,Germany,Unconfirmed,518.1500176,-11.49966036,49.09062533
Cjyfdqrkaboqreqi,Neflwglqgdejoizz,Upstream,Fairfax,United States,Yes,245.0953495,14.19752626,14.69350109
Lfjriyynliliuugl,Cjyfdqrkaboqreqi,Downstream,Clifton,United States,Yes,183.5764348,-2.968566872,-47.53026323
Dzqwumvwykrbjchl,Lfjriyynliliuugl,Upstream,Beijing,China,Unconfirmed,289.9768737,-0.550386445,-0.769318856
Iumlcmbfdtcepqci,Dzqwumvwykrbjchl,Downstream,Mumbai,India,Unconfirmed,394.5433774,31.27645905,-28.44107798
Lwhnqfdznhkzxewp,Iumlcmbfdtcepqci,Upstream,Berlin,Germany,Unconfirmed,726.4905047,-30.37976758,54.20295096
Farqppxolrdnuusx,Lwhnqfdznhkzxewp,Upstream,Fairfax,United States,Yes,777.4001203,15.43490325,-42.69432327
